id,regulated_entity_name,regulated_entity_rn_number,tracking_number,type_of_air_emissions_event,began_date,ended_date,duration
24337,KEYSTONE GAS PLANT,RN100238633,157067,EMISSIONS EVENT,2011-07-20 13:58:00+00:00,2011-07-21 05:11:00+00:00,15.2166666666667
24380,KEYSTONE GAS PLANT,RN100238633,157129,EMISSIONS EVENT,2011-07-22 14:45:00+00:00,2011-07-25 18:15:00+00:00,75.5
24596,KEYSTONE GAS PLANT,RN100238633,157337,EMISSIONS EVENT,2011-07-27 13:56:00+00:00,2011-07-30 09:25:00+00:00,67.4833333333333
24801,KEYSTONE GAS PLANT,RN100238633,157539,EMISSIONS EVENT,2011-08-01 21:53:00+00:00,2011-08-02 04:09:00+00:00,6.26666666666667
24909,KEYSTONE GAS PLANT,RN100238633,157678,EMISSIONS EVENT,2011-08-04 21:00:00+00:00,2011-08-05 05:40:00+00:00,8.66666666666667
24980,KEYSTONE GAS PLANT,RN100238633,157724,EMISSIONS EVENT,2011-08-06 16:51:00+00:00,2011-08-08 15:59:00+00:00,47.1333333333333
25113,KEYSTONE GAS PLANT,RN100238633,157889,EMISSIONS EVENT,2011-08-10 16:55:00+00:00,2011-08-10 22:53:00+00:00,5.96666666666667
25203,KEYSTONE GAS PLANT,RN100238633,157981,EMISSIONS EVENT,2011-08-13 20:45:00+00:00,2011-08-15 17:29:00+00:00,44.7333333333333
25454,KEYSTONE GAS PLANT,RN100238633,158232,EMISSIONS EVENT,2011-08-19 15:46:00+00:00,2011-08-20 09:34:00+00:00,17.8
25468,KEYSTONE GAS PLANT,RN100238633,158238,EMISSIONS EVENT,2011-08-20 16:50:00+00:00,2011-08-20 23:30:00+00:00,6.66666666666667
25718,KEYSTONE GAS PLANT,RN100238633,158554,EMISSIONS EVENT,2011-08-28 23:46:00+00:00,2011-08-29 12:46:00+00:00,13.0
25785,KEYSTONE GAS PLANT,RN100238633,158717,EMISSIONS EVENT,2011-08-31 00:33:00+00:00,2011-08-31 05:12:00+00:00,4.65
25805,KEYSTONE GAS PLANT,RN100238633,158779,EMISSIONS EVENT,2011-09-02 03:25:00+00:00,2011-09-02 08:05:00+00:00,4.66666666666667
25869,KEYSTONE GAS PLANT,RN100238633,158919,EMISSIONS EVENT,2011-09-07 16:20:00+00:00,2011-09-07 19:00:00+00:00,2.66666666666667
25935,KEYSTONE GAS PLANT,RN100238633,159049,EMISSIONS EVENT,2011-09-10 18:30:00+00:00,2011-09-11 02:15:00+00:00,7.75
25948,KEYSTONE GAS PLANT,RN100238633,159070,EMISSIONS EVENT,2011-09-11 19:30:00+00:00,2011-09-12 00:30:00+00:00,5.0
25983,KEYSTONE GAS PLANT,RN100238633,159169,EMISSIONS EVENT,2011-09-13 12:35:00+00:00,2011-09-14 12:35:00+00:00,24.0
26000,KEYSTONE GAS PLANT,RN100238633,159214,EMISSIONS EVENT,2011-09-14 16:15:00+00:00,2011-09-14 20:15:00+00:00,4.0
26112,KEYSTONE GAS PLANT,RN100238633,159465,EMISSIONS EVENT,2011-09-18 05:00:00+00:00,2011-10-21 05:00:00+00:00,792.0
26107,KEYSTONE GAS PLANT,RN100238633,159444,EMISSIONS EVENT,2011-09-20 13:20:00+00:00,2011-09-20 22:41:00+00:00,9.35
26129,KEYSTONE GAS PLANT,RN100238633,159494,EMISSIONS EVENT,2011-09-21 15:22:00+00:00,2011-09-21 20:32:00+00:00,5.16666666666667
26225,KEYSTONE GAS PLANT,RN100238633,159680,EMISSIONS EVENT,2011-09-26 15:35:00+00:00,2011-09-26 17:35:00+00:00,2.0
26413,KEYSTONE GAS PLANT,RN100238633,159928,EMISSIONS EVENT,2011-10-02 17:25:00+00:00,2011-10-03 05:27:00+00:00,12.0333333333333
27580,KEYSTONE GAS PLANT,RN100238633,160866,EMISSIONS EVENT,2011-10-21 21:00:00+00:00,2011-10-22 18:45:00+00:00,21.75
27603,KEYSTONE GAS PLANT,RN100238633,160876,EMISSIONS EVENT,2011-10-23 16:55:00+00:00,2011-10-24 10:51:00+00:00,17.9333333333333
27905,KEYSTONE GAS PLANT,RN100238633,161142,EMISSIONS EVENT,2011-10-29 13:45:00+00:00,2011-10-30 18:45:00+00:00,29.0
28117,KEYSTONE GAS PLANT,RN100238633,161347,EMISSIONS EVENT,2011-11-03 18:20:00+00:00,2011-11-03 20:45:00+00:00,2.41666666666667
28168,KEYSTONE GAS PLANT,RN100238633,161386,EMISSIONS EVENT,2011-11-05 16:00:00+00:00,2011-11-07 04:00:00+00:00,36.0
28255,KEYSTONE GAS PLANT,RN100238633,161458,EMISSIONS EVENT,2011-11-07 19:15:00+00:00,2011-11-07 22:00:00+00:00,2.75
28611,KEYSTONE GAS PLANT,RN100238633,161775,EMISSIONS EVENT,2011-11-08 14:00:00+00:00,2012-03-28 23:00:00+00:00,3393.0
29115,KEYSTONE GAS PLANT,RN100238633,162420,EMISSIONS EVENT,2011-12-04 02:30:00+00:00,2011-12-05 21:45:00+00:00,43.25
29518,KEYSTONE GAS PLANT,RN100238633,162794,EMISSIONS EVENT,2011-12-13 22:50:00+00:00,2011-12-14 16:40:00+00:00,17.8333333333333
12937,KEYSTONE GAS PLANT,RN100238633,165063,EMISSIONS EVENT,2012-02-20 15:30:00+00:00,2012-02-20 23:09:00+00:00,7.65
13330,KEYSTONE GAS PLANT,RN100238633,165397,EMISSIONS EVENT,2012-02-27 13:20:00+00:00,2012-02-29 02:45:00+00:00,37.4166666666667
13543,KEYSTONE GAS PLANT,RN100238633,165591,EMISSIONS EVENT,2012-03-03 07:00:00+00:00,2012-03-03 16:10:00+00:00,9.16666666666667
13547,KEYSTONE GAS PLANT,RN100238633,165593,EMISSIONS EVENT,2012-03-04 07:10:00+00:00,2012-03-04 19:30:00+00:00,12.3333333333333
13552,KEYSTONE GAS PLANT,RN100238633,165596,EMISSIONS EVENT,2012-03-04 14:16:00+00:00,2012-03-05 09:45:00+00:00,19.4833333333333
14129,KEYSTONE GAS PLANT,RN100238633,166159,EMISSIONS EVENT,2012-03-19 03:30:00+00:00,2012-03-20 15:00:00+00:00,35.5
14712,KEYSTONE GAS PLANT,RN100238633,166690,EMISSIONS EVENT,2012-03-31 01:15:00+00:00,2012-04-03 21:00:00+00:00,91.75
15240,KEYSTONE GAS PLANT,RN100238633,167186,EMISSIONS EVENT,2012-04-14 20:00:00+00:00,2012-04-15 00:30:00+00:00,4.5
15510,KEYSTONE GAS PLANT,RN100238633,167409,EMISSIONS EVENT,2012-04-18 15:45:00+00:00,2012-04-18 22:45:00+00:00,7.0
15578,KEYSTONE GAS PLANT,RN100238633,167463,EMISSIONS EVENT,2012-04-18 22:30:00+00:00,2012-04-18 23:10:00+00:00,0.666666666666667
15683,KEYSTONE GAS PLANT,RN100238633,167539,EMISSIONS EVENT,2012-04-22 01:40:00+00:00,2012-05-10 23:40:00+00:00,454.0
15754,KEYSTONE GAS PLANT,RN100238633,167621,EMISSIONS EVENT,2012-04-22 22:50:00+00:00,2012-04-23 03:50:00+00:00,5.0
16348,KEYSTONE GAS PLANT,RN100238633,168197,EMISSIONS EVENT,2012-05-07 20:25:00+00:00,2012-05-08 00:17:00+00:00,3.86666666666667
16572,KEYSTONE GAS PLANT,RN100238633,168383,EMISSIONS EVENT,2012-05-13 16:00:00+00:00,2012-05-15 21:00:00+00:00,53.0
17511,KEYSTONE GAS PLANT,RN100238633,169197,EMISSIONS EVENT,2012-06-02 18:35:00+00:00,2012-06-03 03:05:00+00:00,8.5
18048,KEYSTONE GAS PLANT,RN100238633,169562,EMISSIONS EVENT,2012-06-11 16:00:00+00:00,2012-06-12 11:00:00+00:00,19.0
18281,KEYSTONE GAS PLANT,RN100238633,169759,EMISSIONS EVENT,2012-06-14 15:36:00+00:00,2012-06-15 03:53:00+00:00,12.2833333333333
18367,KEYSTONE GAS PLANT,RN100238633,169822,EMISSIONS EVENT,2012-06-16 01:45:00+00:00,2012-06-16 08:25:00+00:00,6.66666666666667
18365,KEYSTONE GAS PLANT,RN100238633,169821,EMISSIONS EVENT,2012-06-16 02:50:00+00:00,2012-06-16 12:00:00+00:00,9.16666666666667
18386,KEYSTONE GAS PLANT,RN100238633,169832,EMISSIONS EVENT,2012-06-16 22:50:00+00:00,2012-06-17 22:00:00+00:00,23.1666666666667
